1743,716,432,856,369,188,565,1689,1757,304,698,1235,959,1958,110,626,239,3334,657,1394,379,6,289,1,3631,364
1556,66,2,6,561,0,0,596,240,4,8,21,0,10,295,0,0,19,32,39,168,0,0,0,14,4
42,0,6,0,52,0,0,1543,13,1,14,25,0,0,54,0,0,3,1,22,3,1,0,0,1,0
931,2,0,15,506,1,9,126,750,0,5,15,37,6,460,0,0,62,136,2,92,0,3,0,21,0
117,93,44,162,1011,43,69,775,974,29,357,226,59,361,1,32,28,1329,306,353,16,11,40,4,247,93
200,0,0,2,29,28,0,0,112,0,0,1,0,2,36,0,1,18,11,24,12,0,0,0,4,3
994,0,0,0,154,0,1,359,278,0,0,37,1,15,74,0,0,30,3,38,122,0,2,0,172,2
5146,18,8,22,1524,6,1,4,1700,13,21,95,54,187,1474,11,3,67,90,309,865,1,28,0,277,66
267,68,65,213,79,31,23,24,5,22,578,410,89,2457,55,31,42,494,1077,213,30,57,30,0,565,35
832,14,0,1,115,0,1,259,177,3,0,3,0,13,159,0,0,6,0,6,152,0,5,0,5,0
3290,1,1,1,1067,2,0,1245,1233,0,20,35,3,15,840,0,0,52,47,84,252,0,2,0,201,0
1362,9,6,49,454,5,10,6,545,5,62,130,16,44,217,4,13,2,11,89,29,0,5,0,136,1
1559,31,0,2,1043,0,4,148,378,37,14,4,34,35,237,4,0,62,12,10,329,0,0,0,17,46
1809,5,73,387,1242,2,179,189,508,27,100,1,2,59,222,7,0,0,96,164,48,0,18,0,293,13
155,84,98,51,56,66,47,551,147,19,80,260,126,841,1097,32,11,895,352,301,148,7,165,2,33,28
731,0,0,0,379,0,0,307,116,0,3,11,0,391,125,30,0,48,4,23,45,0,0,0,35,0
93,33,0,0,39,0,0,0,98,0,0,0,0,0,14,0,1,1,11,35,14,0,0,0,7,0
1556,20,14,54,580,38,28,152,593,26,185,4,53,190,365,6,2,26,77,244,46,3,57,0,198,21
1720,19,26,1,659,0,1,1217,446,4,64,35,33,25,248,15,0,82,837,243,238,0,13,0,187,0
1406,6,2,0,400,0,0,1719,543,0,9,18,20,114,322,1,0,35,9,31,735,0,4,0,178,0
16,243,154,101,9,18,21,51,4,182,164,157,543,602,50,57,19,601,855,241,4,0,5,0,0,59
5,0,0,0,58,0,0,0,24,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
850,0,0,3,58,2,0,57,67,0,0,2,0,10,588,0,1,4,2,0,1,0,3,0,20,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0
1299,7,1,4,561,0,1,7,5,3,15,5,3,4,74,4,0,2,6,4,22,0,2,0,7,1
507,7,0,4,68,0,0,4,137,0,1,1,11,0,57,0,0,21,1,1,27,0,0,0,18,7